pathway	description	VA7KOHFHCF5	VA7KOHFHCF4	WTHFHCF4	VA7KONormal5	VA7KOHFHCF3	WTHFHCF5	VA7KONormal4	VA7KOHFHCF2	VA7KONormal1	VA7KOHFHCF6	VA7KONormal2	WTHFHCF2	WTHFHCF3	VA7KOHFHCF1	WTNormal3	WTHFHCF1	WTNormal2	VA7KONormal3	WTNormal1
ARO-PWY	chorismate biosynthesis I	278.6403604431709	1769.7356237977767	910.2591308734148	1339.7135703171627	441.8435477399762	761.5663831735775	1021.8342242945204	1276.3689993110593	483.9007882762969	217.8239019085846	1005.0928810254596	690.736460571461	900.3667595649588	935.6544803096416	1051.6224344795069	1265.421497669428	510.23676785277854	718.3878223085321	729.7170715436788
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	401.1852305236743	1657.950978835764	836.8463556657933	1490.5813570769058	313.0377225410396	1058.2205062490632	1167.8083651564823	1522.420999290474	717.1017672301222	458.0337204879136	1211.92222527747	760.079350423369	959.6896155369848	1282.7365897843813	909.0815970962408	1386.7322771778358	882.160408479773	888.4119828203168	991.674664984334
AST-PWY	L-arginine degradation II (AST pathway)	0.67	850.0	218.68	0.0	80.0	0.0	0.0	715.0	0.0	0.0	0.0	363.66	541.26	1.0	0.0	763.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	44.77878390004428	1303.7138057770906	456.1182648870676	104.82748556673438	183.2371643553786	42.58465282472286	264.5557287226964	1110.5725488796927	90.9598913028816	111.00382700641488	139.00710004137886	539.0234097576651	752.3375958547615	432.3163432921902	93.3999432372685	1060.682926735943	110.51899924906728	36.30867192155408	48.740818855989616
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	312.6982861180524	1502.8827873009875	1021.0217791003256	737.4742547977834	465.8591039021982	979.5105758847376	828.8886549189295	1297.1698820210484	639.9421718424366	322.97911756921974	576.8374483764612	715.2381161022781	924.1633841863162	765.3463262233985	708.4487846314781	1276.253621515053	461.6903571690267	479.62996429696994	606.1994370210407
CALVIN-PWY	Calvin-Benson-Bassham cycle	302.0840016546886	2142.3264937125805	1155.67321563537	1521.203535141998	479.2922738859196	752.3977627438522	1241.4803391676046	1593.9678236532106	688.3606913732843	296.02570739702	1222.2406546348811	831.5793908633352	1113.5662461657168	1276.73721828808	1125.4354208528423	1548.3662903077814	815.2997125372124	890.1387139637063	968.123638391604
CENTFERM-PWY	pyruvate fermentation to butanoate	0.0	144.25516411511373	48.95098329784646	1.98125259591319	10.929959224702031	0.0	0.0	64.12340463949847	0.0	0.0	8.38188980773159	47.97764692763563	30.677693155538424	6.792054237309278	0.0	60.7291582295312	0.0	8.283632482274875	4.663734906079509
COA-PWY	coenzyme A biosynthesis I	303.17	1550.6847516067226	982.59	1518.384066496766	409.83	855.8502809664245	1257.8304432441842	1096.974840434876	704.9380740748336	269.08	1232.1270152211284	594.5699999999999	778.8814502528243	1177.3908208789026	1095.9597705525605	1085.7669715660854	962.5589131608954	907.4574565668564	1186.2005554456318
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	6.129057509222017	978.9701522864744	270.06087587802585	77.1483421932666	99.91389573498468	84.45571558653764	127.8066842630686	817.9228832927062	90.54499771391416	80.97008169671561	112.4141691237574	414.6405939886769	593.2345331819719	343.25102929379176	300.2786320254507	802.0757064179301	64.6317976403506	79.05387790571348	31.41922341089117
CODH-PWY	reductive acetyl coenzyme A pathway	185.871944121071	0.0	532.5258243361541	103.98651159589843	284.2179809843401	196.31424567134204	46.95154537842659	152.73094251216435	58.11450289087454	77.65812660973296	17.861491108071135	126.9550940524084	92.77969543147208	52.73300021724962	373.2712559835878	177.1681706316653	48.70399170554691	66.34520676272471	23.743788198243884
COLANSYN-PWY	colanic acid building blocks biosynthesis	183.67255923405807	464.38861148571374	269.7403793448117	686.9273662793275	126.49435762385144	311.7029121152389	703.1388306659526	568.4947681877436	392.8964090568744	215.5147300300795	637.2551948702348	245.1293375423476	276.3201823485014	817.6130104275602	479.0400730234179	372.5219981569985	491.1514979163397	448.4982112806696	431.55952838168594
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	290.2757382194898	1863.200098714981	942.45558373232	1412.432207208927	460.9367533157028	809.3478671203751	1074.040483882328	1333.9730414667918	508.8729704337345	232.2565661402644	1060.1961124895024	721.1070854238601	942.5783889025582	980.1781010147428	1100.0306954760345	1321.4120746822464	533.0715649473724	755.8703153289227	763.3375870046667
DAPLYSINESYN-PWY	L-lysine biosynthesis I	259.3086092159626	1615.054178157352	967.234792016932	1340.4293490838872	428.2111677483183	852.7021178176198	1090.0753326942236	1098.950773341477	419.6392068565923	128.19153783576874	1054.884823250737	627.5540227477519	816.3794608919816	788.6973161055572	914.6051122751288	1149.5383900598983	620.5730085648869	764.9358548293616	871.9897357818384
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	307.58170251089325	1619.7947070486323	1080.8893533420337	873.7521383293032	442.599273936475	571.171278912056	956.4559726065066	1211.5848789235029	510.5219464473921	269.472947956543	946.9976306267912	650.4504228962589	853.1250915391361	1073.5225752467506	883.7737596561493	1191.4359041142602	519.9761378005825	538.665065693287	542.6727645838844
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	331.8634676977182	1739.791516373174	945.58270882148	1600.1357672769104	417.3786468830506	963.7165423500404	1243.191133996835	1282.217231054295	826.2456598810361	317.95023822457955	1206.5903195706037	665.0745880131645	892.2608757044743	1253.052294496661	989.7778254037069	1239.2908208453423	955.7143660039604	942.6928256360644	1188.9229249803884
ECASYN-PWY	enterobacterial common antigen biosynthesis	1.0345449556877462	981.8243744005316	278.6501605168536	0.0	98.5075043099359	0.0	0.0	807.7401325169698	0.0	0.0	0.0	399.55552183292673	598.9563603793571	1.8660047320341653	0.0	831.5724646777799	0.0	0.0	0.0
ENTBACSYN-PWY	enterobactin biosynthesis	3.516802356347613	1287.964677412747	545.2910751760545	0.0	215.18863425448444	0.0	0.0	857.1256694947976	0.0	0.0	0.0	501.48357050159	664.9709748694968	5.283733096719427	0.0	948.72985557527	0.0	0.0	0.0
FAO-PWY	fatty acid &beta;-oxidation I	1.9462375158450784	1700.0000000000002	526.5323981456531	0.8975523323804295	195.52246666577943	0.0	0.0	1501.1832008960514	0.0	0.0	3.8495393675229135	769.8932254103737	1084.1853846390527	2.9750986674814026	0.0	1550.7619304527927	0.0	3.881064604267829	2.096741758830724
FASYN-ELONG-PWY	fatty acid elongation -- saturated	356.0892902443259	1600.4703303424196	1229.4346003548028	1117.4792910390202	509.2555702465247	482.0165178703276	1176.7152514449124	1333.3767162383526	776.4040632962079	330.5695078406861	954.322239713878	713.3901647409082	902.3094614778728	1044.7608852873814	923.3133831377704	1293.6950366754097	625.1494878821787	684.7167239384647	664.4282378253133
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	18.61342811596125	1329.5559104575325	427.852677396088	43.51105861095196	165.297284002868	17.102612097824593	145.10127352917223	1045.775901469818	37.96825797923411	54.37401455915253	67.97321149229016	529.8659222044596	739.9875164494189	309.1130948346091	39.2988961599962	1051.0899760980528	50.07821908426124	14.02486345743048	19.696890246469614
FERMENTATION-PWY	mixed acid fermentation	96.47533136653222	1805.1117037357608	639.2195493718694	414.1844860766154	200.42852066216489	199.9495744870865	464.7085636591518	1326.9685685327245	276.1538293853086	36.91656830488194	348.01429223160966	691.3664304827269	983.043839627372	644.5780403748375	368.5276485237669	1349.0780699473698	641.880070817423	414.44919589431584	854.5877625072123
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	192.6635126968636	1529.6089389234803	836.5681445200602	798.930380076791	361.03725339169387	477.7248898059421	856.8531470431969	1285.444803007682	616.6203448798443	215.28273949620544	744.1913660311261	665.5490883074461	873.8780067719647	1012.3090285817342	672.8991937737987	1234.3232978428712	522.328688839778	517.8833130819479	622.5150642542004
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	2.86814806852986	914.1347816711934	258.79228755703645	0.0	94.92934591892136	0.0	0.0	803.8134525226425	0.0	0.0	0.0	389.3110441216161	566.7837836850927	4.395104791142845	0.0	797.1313583465238	0.0	0.0	0.0
FUCCAT-PWY	fucose degradation	1.3210518318925977	863.8676023988253	263.93931774686547	0.0	100.99980863792092	0.0	0.0	775.906446201264	0.0	0.0	0.0	385.95121160190513	560.737945796911	1.9715017611271213	0.0	801.7516654527365	0.0	0.0	0.0
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	119.65197630579904	1042.7877813305738	276.60510411608993	311.6015051721204	110.02239337549592	143.16951874185486	296.8219087368303	943.660291725812	240.22550757528052	144.46304101773836	238.443581544172	412.84231712897406	619.1735218962091	295.9738236505462	165.59075309094072	857.7334090340572	251.46748724291797	222.27805758720444	176.78512023095337
GALACTARDEG-PWY	D-galactarate degradation I	0.0	64.83500628261737	0.0	0.0	18.62178783916271	0.0	0.0	0.0	0.0	0.0	0.0	60.05835685103459	100.39513582044098	0.0	0.0	137.2830572263935	0.0	0.0	0.0
GALACTUROCAT-PWY	D-galacturonate degradation I	120.8836043116306	1067.980201452118	277.5745031090367	386.10800429469145	108.48950754794664	185.05886567353147	368.5104739291958	917.7847534750144	273.1761870440742	148.12430491642718	314.252437152302	402.2717599875504	603.3750312446999	409.81273328161495	230.3306751292806	826.7975313217181	305.3847798678575	280.5887650730304	217.42925741105145
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	107.29341783300691	1251.404271969487	500.1066761513808	632.6716463006728	128.6785881360186	310.5871800565315	713.4430623812192	881.6017901870664	261.7103981292192	33.5098895146363	610.7515788848804	441.1574637277173	654.824867719616	554.038114149849	324.3260011652781	862.9587439258192	651.8453180428193	472.7570357686785	662.2068411176377
GLUCARDEG-PWY	D-glucarate degradation I	0.8919751293455568	863.8747564883231	269.24696464453547	16.613078305686056	100.49709247234178	0.0	14.715982792852415	742.2331499570172	0.0	0.0	3.3103448275862064	390.6446995378458	561.7154191502752	16.058823529411764	3.686143572621035	804.2474414853496	8.527918781725889	13.096033402922757	8.628973851998312
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	0.0	64.83500628261737	0.0	0.0	18.62178783916271	0.0	0.0	0.0	0.0	0.0	0.0	60.05835685103459	100.39513582044098	0.0	0.0	137.2830572263935	0.0	0.0	0.0
GLUCONEO-PWY	gluconeogenesis I	340.05730383494586	1811.5549664682876	1144.258688482413	1350.7686805715869	457.0856926871167	736.5674624339109	1178.122871481714	1448.6532883912546	760.2044534103908	310.79376331499736	1128.3661236582022	749.0662981558037	989.4657580899136	1178.4263175697563	967.1317322394034	1395.3418787528085	919.3643775836632	834.0844832106321	1081.7199095178376
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	1.337130162383327	1124.2270896173602	362.9073417406197	0.0	137.39481212074062	0.0	0.0	918.0095743135988	0.0	0.0	0.0	466.92425510083285	658.6233202056906	1.998766954377312	0.0	924.2475235161908	0.0	0.0	0.0
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	122.59523716837616	1125.2909879753388	293.7508317791685	343.48755394085765	112.68359768758314	157.50314557565662	313.1194196867756	968.519261614274	246.3463770216916	145.9170537426646	248.88981889374	433.47529176946193	651.6771360705559	291.5120251795248	170.91779513910484	896.6915990694287	270.5725625241718	236.897213270122	193.9237063472072
GLUTORN-PWY	L-ornithine biosynthesis	274.9306787376431	1127.2590196475169	884.932572193776	441.0070692457279	432.4111506084744	869.2302449920988	520.5331371339062	1043.651388106991	467.90284309506114	250.7636399093191	299.0023901070352	618.4959732386534	783.9641719893506	463.2232432130488	478.8700231584574	1094.6565115184148	271.62851944072014	255.22693820912573	353.6149339657574
GLYCOCAT-PWY	glycogen degradation I (bacterial)	189.78668534002972	1756.0852370573834	666.1497528648617	857.5447182086644	209.43795890482332	742.763209364079	885.995088308853	1327.1467621618426	531.6242159322165	223.61338524214707	870.7618492495163	670.1797155721488	941.103297635234	1037.095704887956	591.564519235829	1283.0877033541462	595.2130187224897	569.0641530706065	753.6265195678712
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	131.36057150925666	1603.5385847169423	587.7044542268768	1438.542195609099	151.71346883265798	821.310216319431	1198.112969199129	919.3123718860752	390.6330104308303	33.55584568135412	1222.9454036028364	507.3629078167189	717.9308164383365	910.968567209816	1116.7304629918365	944.4264012141656	516.9457834299803	769.2912110170853	684.3668581724302
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	2.289333964019766	1028.3365352413505	295.9125397322036	0.0	98.4648912718855	0.0	0.0	841.5996240996831	0.0	0.0	0.0	433.0078200596248	645.8388360482572	3.843040647545311	0.0	896.0765707572326	0.0	0.0	0.0
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	270.4944609800196	1974.5587559326823	1017.2343714038196	1522.7983667346757	366.65170843680215	837.0716772983579	1358.197479618526	1461.549086315521	742.1738431844782	283.4909480684787	1292.863884906954	769.064608326348	1052.7804699579376	1256.2232729905086	1044.1704003955224	1429.9296440465966	950.6495107765008	964.0474922774564	1155.4887572296911
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	204.688731112465	1529.6184641015743	680.2863073748828	577.3778801575447	220.08165284866965	361.0281475297704	373.8953963144267	1215.210179822532	260.4472918451452	227.9592509117493	151.06061852699946	596.9725102803592	853.6265847154882	445.34045959520506	390.5740733675972	1168.6206008175354	347.7070178867053	413.773683673721	396.3133447006123
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	4.705355565078062	1535.8668671342457	589.1946127008077	0.0	218.7511750459368	0.0	0.0	1254.7560225556165	0.0	0.0	0.0	653.7168424325412	910.6528436452212	7.1289915066281	0.0	1267.7832091704258	0.0	0.0	0.0
GLYOXYLATE-BYPASS	glyoxylate cycle	2.6377906531924813	1178.3196949671635	426.85923344305365	0.0	148.62622500985077	0.0	0.0	1038.150088247844	0.0	0.0	0.0	533.2337116611097	760.7998601441732	3.9851978443780736	0.0	1045.8743321858835	0.0	0.0	0.0
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	0.0	0.0	0.0	7.796308939389014	0.0	0.0	32.25798807135931	0.0	0.0	0.0	12.102161100196463	0.0	0.0	13.584393553859202	3.692307692307692	0.0	20.37170596393897	11.76338028169014	14.562915987073378
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.0	12.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.541818181818181	7.549090909090909	0.0	0.0	4.003636363636363	0.0	0.0	0.0
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	1.3341138268718304	873.1971893958025	335.4948115156675	36.49913811594245	132.51421413877603	22.07837188990449	56.64643640800311	788.9644479675218	42.32710939921407	15.845603945552234	72.47541441389106	409.3627577825533	578.7753619505594	81.40550213341159	270.45063685119413	837.097652490476	48.816753926701566	50.51351848833015	28.43519409475881
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	184.2640923868979	1097.6746565118267	849.9201894512192	92.8578853596708	428.8980575667223	152.3230727481731	154.01419256578197	1043.4932247121703	53.73185016241709	71.99500937055791	107.4508858991006	567.0128220246904	747.8907747865547	90.7133705285397	344.8154165829675	1105.0793608393076	88.97231762604753	77.75723410829175	96.8220604880563
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	5.182341825187566	434.25150656725066	516.4948122281173	0.0	102.58163434442297	0.0	0.0	23.596401183100163	0.0	0.0	0.0	212.99376767890797	235.00688121227293	7.692143958412676	0.0	249.6130414922093	0.0	0.0	0.0
HISDEG-PWY	L-histidine degradation I	35.91669765712161	85.37021795574188	10.41904404469841	283.5052272496806	12.841506601044197	21.01801385681293	395.1204129885802	204.14637163875204	401.0944671260586	56.4260796000769	316.9184572188562	27.14232087346342	33.85296442687748	621.517571884984	119.50227617602428	45.19701777439657	162.39810986414648	155.87809131034163	210.10354364736384
HISTSYN-PWY	L-histidine biosynthesis	290.9245259985793	1191.7612714059774	858.2915874325942	552.9034349663102	421.53881263407874	964.7256710128796	607.5764743456934	1079.0817512608564	534.7685992366771	282.7310764756283	383.0829986633923	620.4219573552695	799.0507633524483	535.1612132600181	554.1483009137008	1099.2857300548428	351.13124069130964	342.31354273299786	453.9153341260365
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	27.84000414281448	1009.8361523070804	340.43324963786154	116.69736544391664	110.98565944607404	60.58875281933298	156.51851196416786	897.2790371080835	37.52644205681929	98.52112652165611	116.33404246551837	431.2579630024132	634.639959997882	74.2347511298507	121.65596289953102	866.0795519544919	104.36825830291916	99.4389049694906	238.0352856924893
HSERMETANA-PWY	L-methionine biosynthesis III	27.912192807069765	577.0537492952453	278.1537294521626	265.4171419246197	76.67232981696871	61.44577660067197	382.7753515657766	487.36946067763154	394.0551836007487	108.1663672022398	185.4871742867123	230.18643543587075	326.42588799655044	92.25265305944856	380.60729163807423	333.5207800817118	106.74866061873624	107.47941832312448	266.0873332536233
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	320.43444880733983	1550.3222020827118	1052.259631031871	738.0759551111121	482.9966154701267	1000.08563927607	853.2114685709595	1387.3628049008323	662.2666315628616	324.5437509574888	586.515872943346	745.5339973015604	968.7958921899814	782.0115961816538	685.3656324484833	1337.59262617801	469.3689444095592	481.92788524097887	614.0017231020329
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	5.265427035532734	1001.6376713483926	580.7255593564397	0.0	264.84278570324585	0.0	0.0	1025.4203173758744	0.0	0.0	0.0	505.167512152117	677.1642239470771	7.926647743771674	0.0	990.249727314658	0.0	0.0	0.0
KETOGLUCONMET-PWY	ketogluconate metabolism	0.0	2.498179084822599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.244143322364497	0.0	0.0	62.81412854661262	0.0	0.0	0.0
LACTOSECAT-PWY	lactose and galactose degradation I	35.90185293543983	70.05897358123848	270.05926024773606	17.70401518252521	24.75783953090287	6.379636074376056	143.36547814948142	8.545923427891292	11.428571428571429	8.155339805825243	142.21919067601834	0.0	31.77767355090985	33.77230176211454	63.92112676056338	7.741640247840656	68.95367278797997	27.20724801812004	92.01733388106588
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	0.0	39.57462952937996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.190656881468875	31.063999138157826	0.0	0.0	124.08415504941507	0.0	0.0	0.0
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	42.970961268352575	1388.0774848127814	530.9178488713009	184.9343369932699	185.97679274283485	91.46380152123426	241.41135755232537	1122.8533998729176	57.51427360277294	136.77299467110802	181.5692855349054	565.184362173348	799.9856756551271	113.35205096328922	192.6156183000264	1106.483361078044	161.30052412909689	156.58391348318702	377.1665212590807
METH-ACETATE-PWY	methanogenesis from acetate	0.0	0.0	0.0	18.913503221344428	0.0	0.0	0.0	96.55548623597504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4210224895067824	0.0
METHGLYUT-PWY	superpathway of methylglyoxal degradation	1.058900045632	932.746398928658	235.4955086063339	0.0	88.76761023104741	0.0	0.0	772.6355157178623	0.0	0.0	0.0	380.3988707584677	562.158022676483	1.6465492953856182	0.0	789.2836351279221	0.0	0.0	0.0
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	1.3234022705858737	1102.3663339442055	283.91806044700184	0.0	107.76347891873384	0.0	0.0	938.7348582469303	0.0	0.0	0.0	462.4079989799422	681.5093097146635	1.997163998633407	0.0	960.756456048936	0.0	0.0	0.0
NAGLIPASYN-PWY	lipid IVA biosynthesis	275.9804666114238	1024.1150605429625	763.29379196134	572.6476624247834	393.0168946598612	318.2170114307784	630.7690900301216	1109.5355816050496	609.7230179660253	279.32201015546167	480.0495760633453	532.112714774084	696.955825116908	812.3155395868088	465.4149833128404	1028.3980509696826	370.8901429984711	354.77191260016855	373.3377486753974
NONMEVIPP-PWY	methylerythritol phosphate pathway I	281.687644291374	1572.4802843213747	844.3960297778552	1437.9253028509434	403.0343643477211	877.5526727256394	1176.1544518544222	1121.9438974904226	709.4333937120601	268.054184285886	1131.7934150671776	603.914413356489	777.759559938712	1160.5857165380878	1065.54967814299	1086.1238986015994	607.2064988007701	793.4528496059635	792.0676487887722
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	297.76179597079425	2414.4075003173257	1223.0824663148665	1531.2650319181646	508.4523338627764	1494.8588491296634	1258.5606152134828	1847.8761888628908	704.8397700289913	282.02287331546546	1213.7212533252357	1049.8025741433808	1402.2795136400402	1327.6179721177557	1137.0323219408756	1901.98941869566	814.1611130598442	876.0923814236717	1108.9400655540317
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	251.0684704173376	1508.989715018397	944.4877228453728	1198.9899998506603	405.7212622174376	887.3532824638594	957.0462181404688	1059.7092597275796	319.0711572442471	190.63669124026148	936.819114421631	625.6777482565694	818.7329920049812	753.7256172442528	769.6233069449943	1128.802811751378	814.8393434062581	752.339862947469	1077.70030958271
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	1.1631767477184882	999.8551231184906	301.7227622774549	0.0	108.50697055417092	0.0	0.0	872.3578548842493	0.0	0.0	0.0	438.25607376395794	642.4585661504037	2.2895607304202104	0.0	909.2771527253168	0.0	0.0	0.0
ORNDEG-PWY	superpathway of ornithine degradation	1.3346026211374291	884.3807502568212	344.083604587657	0.0	131.1060948081264	0.0	0.0	761.7320261437909	0.0	0.0	0.0	421.0649300063684	586.9982185988295	1.9787234042553192	0.0	840.962316214324	0.0	0.0	0.0
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	4.8369319717783625	1428.6087516963823	515.4864259265504	0.0	192.71819806502197	0.0	0.0	1286.8135484032914	0.0	0.0	0.0	637.1358769984779	901.6453419914068	14.444765459257042	0.0	1264.7532441731196	0.0	0.0	0.0
P108-PWY	pyruvate fermentation to propanoate I	221.52036446995837	173.52870958979364	74.88155472077716	715.2456950569133	56.61509358179519	236.59767117376515	832.7368329121334	466.20971102876905	740.4300314781765	258.14883167778424	562.307004138305	37.89335659230964	82.3423043271418	798.0893911576898	627.7214389640458	80.46810084235194	464.0876150838886	432.4813452817122	500.77023864572976
P122-PWY	heterolactic fermentation	75.37398566266148	180.4268539948565	342.1401243298272	347.4090176157014	36.51324444832741	31.31712642024633	442.61038658134737	12.156167321417357	53.78520026855367	22.616175310818782	406.9415314666984	0.0	42.82843247569633	225.89437307266743	219.19248415827812	13.00814401652131	699.6030458287995	354.99711787549575	899.8752944421911
P124-PWY	Bifidobacterium shunt	88.27870101602873	206.43974448183403	394.8813693722282	468.284076027135	41.06896804905719	38.04734267114098	595.9779081066072	13.871324000936482	64.14886147361425	26.020307357504468	575.1513459040624	0.0	48.65893630855586	279.1524863472888	314.525103160441	14.83658232635493	839.0177020265993	471.12484717559903	1107.1331640856713
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	0.0	0.0	0.0	0.8983795594653938	0.0	0.0	0.0	25.17896552683565	0.0	0.0	3.878784082333024	0.0	0.0	0.0	0.0	0.0	0.0	3.832201149552888	2.096528904222775
P161-PWY	acetylene degradation	79.84957694228437	1870.3255599168783	618.3454397052686	1412.6901250420428	166.20069191167346	130.04930112997377	995.9619817902328	1061.747365631393	221.6935892954011	20.216258512253305	1109.0968768550256	560.9534668710074	803.788906045565	583.9614817243074	931.4061215166744	1103.0860076407366	810.6728867845704	806.7847732638779	1168.0262951322106
